shap_current_logins,shap_current_feature_usage,shap_current_session_mins,shap_current_api_calls,shap_current_support_tickets,shap_login_trend_3w,shap_feature_trend_3w,shap_session_trend_3w,shap_api_trend_3w,shap_avg_logins_4w,shap_avg_session_4w,shap_avg_api_4w,shap_total_tickets_4w,shap_login_volatility,shap_session_volatility,shap_total_weeks,shap_plan_encoded,shap_industry_encoded,shap_monthly_revenue,shap_nps_score,shap_feature_adoption_rate,customer_id,churn_probability,risk_level
-0.11919517,-1.0689929,-0.007934952,-0.67125845,0.39475942,-0.03841704,0.10403879,0.008162386,0.07742042,-0.40435165,0.13896123,-3.1565213,0.4073237,0.0577272,-0.24214147,0.12187034,-0.030925216,-0.073234476,-0.011747064,0.1773859,-0.0638421,CUST10000,0.011588396,Low
0.18117635,1.0324427,-0.19789359,-0.7233697,-0.038355276,-0.13609672,-0.08686951,0.4669033,-2.017089,-0.85776293,0.013158187,-0.530419,-0.5980635,0.17857388,0.039348375,0.018877989,-0.08406628,0.104471765,-0.0073343753,0.17316397,0.19192515,CUST10001,0.051054396,Low
-0.921551,-1.0193343,-0.33491594,-0.20327136,-0.058643147,-0.7197932,0.27536562,-0.059322625,-0.9861586,-0.57973915,-1.1197561,-0.90192866,-0.30595398,0.073569104,0.01542522,-0.108253874,-0.07362676,0.07088951,0.007945939,0.004065992,-0.1596579,CUST10002,0.00078438077,Low
-1.1058198,0.16980937,-0.13381751,-0.83109397,-0.061524913,-0.68093157,-0.06313174,0.16784754,-0.5869807,-1.088004,-0.8386075,-1.6790508,-0.45664907,0.26778027,-0.13616621,0.08313767,-0.019988405,-0.115980566,0.0028700372,-0.13941064,-0.037301086,CUST10003,0.00065632653,Low
-0.046334755,-1.1906686,-0.6872817,-0.23414585,-0.049023937,-0.05134881,-0.5506107,-1.161968,0.26498473,1.0209728,-0.26802993,1.2649843,0.023054015,-0.5726182,-0.10399336,-0.61867774,0.0065654856,0.04393759,-0.012412846,0.07286654,0.03650624,CUST10004,0.05424738,Low
-0.054213274,-0.9175462,-1.0407807,0.16826847,-0.031214539,0.19161345,0.094042376,-0.55296767,0.27949208,-1.3453882,-1.3004019,0.6958463,-0.32944617,-0.57748985,0.13731922,-0.11596967,0.22160946,-0.045714486,0.026162079,-0.03239276,-0.6444101,CUST10005,0.0053848843,Low
-0.88315856,1.1341932,-0.24563685,-1.242586,-0.04615815,-0.43565947,-0.07164183,-0.13309395,-2.133406,-1.4722236,-0.44068038,-2.176575,-0.6016087,-0.21208112,-0.004609259,-0.10219059,-0.08432445,-0.07921599,-0.01071007,0.22750072,0.10093907,CUST10006,0.00012867284,Low
-1.4647669,-0.08525619,0.25871965,-0.10938416,-0.043248974,0.13226597,0.13577744,-0.008852686,0.14355293,-2.6135793,0.036848128,1.1684602,-0.666075,-0.22254106,-0.1531188,-0.0861512,-0.030537086,-0.18714803,0.010992904,0.010901195,-0.122190386,CUST10007,0.019067602,Low
-0.11644611,0.19246352,-0.044553615,0.22611773,-0.12685138,-0.38825458,-0.04817666,-0.2353971,0.3147,-0.6317816,0.28941196,-2.5818462,-0.5926455,-0.05292566,-0.2056422,-0.05659347,-0.052133847,0.1407639,-0.005984745,-0.53975254,0.24569331,CUST10008,0.013190011,Low
-0.02177322,-0.7456251,-0.48685524,0.12355281,-0.06074769,0.070254914,-0.50080025,-1.0222585,0.6308275,-1.2689067,0.5826212,-2.0611694,-0.42882985,-0.46990547,0.53762186,-0.027070744,-0.13536583,-0.046665378,0.0015290156,0.010265162,0.6838249,CUST10009,0.009187702,Low
0.053614106,-1.466919,-0.22530475,0.39177048,-0.0678682,0.22378066,-0.18901308,0.00872843,0.30673495,-0.593696,0.3585267,0.5445621,0.5518265,-0.05128169,-0.22505721,-0.29682297,-0.06714435,0.21775839,-0.02808779,-0.635006,-0.035324164,CUST10010,0.21935906,Low
